Date,LSTM_Forecast_Close
2026-01-16,0.14425112
2026-01-17,0.14415511
2026-01-18,0.14376387
2026-01-19,0.1432762
2026-01-20,0.14278227
2026-01-21,0.14231506
2026-01-22,0.14188118
2026-01-23,0.14147714
2026-01-24,0.14109647
2026-01-25,0.14073327
2026-01-26,0.14038272
2026-01-27,0.14004132
2026-01-28,0.13970694
2026-01-29,0.13937815
2026-01-30,0.13905407
2026-01-31,0.1387345
2026-02-01,0.13841881
2026-02-02,0.13810667
2026-02-03,0.13779858
2026-02-04,0.13749434
2026-02-05,0.13719407
2026-02-06,0.13689792
2026-02-07,0.13660602
2026-02-08,0.13631842
2026-02-09,0.13603507
2026-02-10,0.135756
2026-02-11,0.13548122
2026-02-12,0.1352107
2026-02-13,0.13494393
2026-02-14,0.13468124
2026-02-15,0.13442269
2026-02-16,0.13416786
2026-02-17,0.13391683
2026-02-18,0.13366948
2026-02-19,0.13342579
2026-02-20,0.13318567
2026-02-21,0.13294908
2026-02-22,0.13271596
2026-02-23,0.13248625
2026-02-24,0.13225988
2026-02-25,0.13203683
2026-02-26,0.13181701
2026-02-27,0.1316004
2026-02-28,0.13138692
2026-03-01,0.13117655
2026-03-02,0.13096923
2026-03-03,0.1307649
2026-03-04,0.13056351
2026-03-05,0.13036504
2026-03-06,0.13016942
2026-03-07,0.12997662
2026-03-08,0.12978658
2026-03-09,0.12959927
2026-03-10,0.12941463
2026-03-11,0.12923265
2026-03-12,0.12905325
2026-03-13,0.12887642
2026-03-14,0.1287021
2026-03-15,0.12853026
2026-03-16,0.12836088
2026-03-17,0.1281939
2026-03-18,0.12802927
2026-03-19,0.12786698
2026-03-20,0.12770699
2026-03-21,0.12754926
2026-03-22,0.12739375
2026-03-23,0.12724042
2026-03-24,0.12708928
2026-03-25,0.12694024
2026-03-26,0.12679331
2026-03-27,0.12664844
2026-03-28,0.12650558
2026-03-29,0.12636474
2026-03-30,0.12622587
2026-03-31,0.12608895
2026-04-01,0.12595393
2026-04-02,0.1258208
2026-04-03,0.1256895
2026-04-04,0.12556006
2026-04-05,0.1254324
2026-04-06,0.12530653
2026-04-07,0.1251824
2026-04-08,0.12505999
2026-04-09,0.124939285
2026-04-10,0.12482025
2026-04-11,0.124702856
2026-04-12,0.12458708
2026-04-13,0.12447291
2026-04-14,0.12436031
2026-04-15,0.12424928
