Date,RF_Forecast_Close
2025-12-22,129.23861559223116
2025-12-23,131.54603604587732
2025-12-24,131.97735915625137
2025-12-25,132.02123160553566
2025-12-26,132.02123160553566
2025-12-27,132.02123160553566
2025-12-28,132.02123160553566
2025-12-29,132.02123160553566
2025-12-30,132.02123160553566
2025-12-31,132.02123160553566
2026-01-01,132.0212316055357
2026-01-02,132.02123160553566
2026-01-03,132.02123160553566
2026-01-04,132.02123160553566
2026-01-05,132.02123160553566
2026-01-06,132.0212316055357
2026-01-07,132.02123160553566
2026-01-08,132.02123160553566
2026-01-09,132.02123160553566
2026-01-10,132.02123160553566
2026-01-11,132.02123160553566
2026-01-12,132.02123160553566
2026-01-13,132.02123160553566
2026-01-14,132.02123160553566
2026-01-15,132.0212316055357
2026-01-16,132.02123160553566
2026-01-17,132.02123160553566
2026-01-18,132.02123160553566
2026-01-19,132.02123160553566
2026-01-20,132.02123160553566
2026-01-21,132.02123160553566
2026-01-22,132.02123160553566
2026-01-23,132.02123160553566
2026-01-24,132.02123160553566
2026-01-25,132.02123160553566
2026-01-26,132.0212316055357
2026-01-27,132.02123160553566
2026-01-28,132.02123160553566
2026-01-29,132.02123160553566
2026-01-30,132.02123160553566
2026-01-31,132.02123160553566
2026-02-01,132.02123160553566
2026-02-02,132.02123160553566
2026-02-03,132.02123160553566
2026-02-04,132.02123160553566
2026-02-05,132.02123160553566
2026-02-06,132.02123160553566
2026-02-07,132.02123160553566
2026-02-08,132.0212316055357
2026-02-09,132.02123160553566
2026-02-10,132.02123160553566
2026-02-11,132.02123160553566
2026-02-12,132.02123160553566
2026-02-13,132.02123160553566
2026-02-14,132.02123160553566
2026-02-15,132.02123160553566
2026-02-16,132.02123160553566
2026-02-17,132.02123160553566
2026-02-18,132.02123160553566
2026-02-19,132.02123160553566
2026-02-20,132.02123160553566
2026-02-21,132.02123160553566
2026-02-22,132.02123160553566
2026-02-23,132.02123160553566
2026-02-24,132.02123160553566
2026-02-25,132.02123160553566
2026-02-26,132.02123160553566
2026-02-27,132.02123160553566
2026-02-28,132.02123160553566
2026-03-01,132.02123160553566
2026-03-02,132.02123160553566
2026-03-03,132.02123160553566
2026-03-04,132.02123160553566
2026-03-05,132.02123160553566
2026-03-06,132.02123160553566
2026-03-07,132.02123160553566
2026-03-08,132.02123160553566
2026-03-09,132.02123160553566
2026-03-10,132.02123160553566
2026-03-11,132.02123160553566
2026-03-12,132.02123160553566
2026-03-13,132.02123160553566
2026-03-14,132.02123160553566
2026-03-15,132.02123160553566
2026-03-16,132.02123160553566
2026-03-17,132.02123160553566
2026-03-18,132.02123160553566
2026-03-19,132.02123160553566
2026-03-20,132.02123160553566
2026-03-21,132.02123160553566
